"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Acinetobacter albensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter albensis"
"Acinetobacter baumannii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter baumannii"
"Acinetobacter beijerinckii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter beijerinckii"
"Acinetobacter bohemicus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter bohemicus"
"Acinetobacter gandensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter gandensis"
"Acinetobacter guillouiae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter guillouiae"
"Acinetobacter idrijaensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter idrijaensis"
"Acinetobacter indicus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter indicus"
"Acinetobacter johnsonii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter johnsonii"
"Acinetobacter kookii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter kookii"
"Acinetobacter lwoffii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter lwoffii"
"Acinetobacter oleivorans","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter oleivorans"
"Acinetobacter pittii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter pittii"
"Acinetobacter radioresistens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter radioresistens"
"Acinetobacter schindleri","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter schindleri"
"Acinetobacter soli","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter soli"
"Acinetobacter sp ANC 4218","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter sp ANC 4218"
"Acinetobacter sp HR7","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter sp HR7"
"Acinetobacter sp SFB","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter sp SFB"
"Acinetobacter sp TGL Y2","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter sp TGL Y2"
"Acinetobacter sp WCHAc010034","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter sp WCHAc010034"
"Acinetobacter towneri","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter towneri"
"Acinetobacter variabilis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","Acinetobacter variabilis"
"Moraxella bovoculi","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Moraxella","Moraxella bovoculi"
"Moraxella lincolnii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Moraxella","Moraxella lincolnii"
"Moraxella osloensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Moraxella","Moraxella osloensis"
"Moraxella ovis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Moraxella","Moraxella ovis"
"Psychrobacter alimentarius","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter alimentarius"
"Psychrobacter cryohalolentis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter cryohalolentis"
"Psychrobacter immobilis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter immobilis"
"Psychrobacter pacificensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter pacificensis"
"Psychrobacter pasteurii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter pasteurii"
"Psychrobacter phenylpyruvicus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter phenylpyruvicus"
"Psychrobacter piechaudii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter piechaudii"
"Psychrobacter piscatorii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter piscatorii"
"Psychrobacter sp 1501 2011","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter sp 1501 2011"
"Psychrobacter sp JB385","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter sp JB385"
"Psychrobacter sp P11G3","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter sp P11G3"
"Psychrobacter sp Sarcosine 3u 12","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Psychrobacter","Psychrobacter sp Sarcosine 3u 12"
"Pseudomonas aeruginosa group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas aeruginosa group"
"Pseudomonas alcaliphila","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas alcaliphila"
"Pseudomonas bauzanensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas bauzanensis"
"Pseudomonas cerasi","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas cerasi"
"Pseudomonas coleopterorum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas coleopterorum"
"Pseudomonas cuatrocienegasensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas cuatrocienegasensis"
"Pseudomonas extremaustralis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas extremaustralis"
"Pseudomonas flexibilis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas flexibilis"
"Pseudomonas fluorescens group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas fluorescens group"
"Pseudomonas formosensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas formosensis"
"Pseudomonas fragi","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas fragi"
"Pseudomonas graminis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas graminis"
"Pseudomonas guangdongensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas guangdongensis"
"Pseudomonas helleri","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas helleri"
"Pseudomonas jessenii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas jessenii"
"Pseudomonas kunmingensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas kunmingensis"
"Pseudomonas lactis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas lactis"
"Pseudomonas litoralis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas litoralis"
"Pseudomonas lundensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas lundensis"
"Pseudomonas lurida","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas lurida"
"Pseudomonas moraviensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas moraviensis"
"Pseudomonas parafulva","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas parafulva"
"Pseudomonas pelagia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas pelagia"
"Pseudomonas prosekii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas prosekii"
"Pseudomonas psychrophila","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas psychrophila"
"Pseudomonas putida group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas putida group"
"Pseudomonas rhizosphaerae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas rhizosphaerae"
"Pseudomonas sagittaria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sagittaria"
"Pseudomonas saponiphila","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas saponiphila"
"Pseudomonas saudiphocaensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas saudiphocaensis"
"Pseudomonas silesiensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas silesiensis"
"Pseudomonas simiae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas simiae"
"Pseudomonas sp Choline 02u 1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp Choline 02u 1"
"Pseudomonas sp ES3 33","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp ES3 33"
"Pseudomonas sp HMWF006","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp HMWF006"
"Pseudomonas sp MYb185","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp MYb185"
"Pseudomonas sp StFLB209","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp StFLB209"
"Pseudomonas sp TC 11","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp TC 11"
"Pseudomonas sp URMO17WK12 I2","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp URMO17WK12 I2"
"Pseudomonas sp VI4 1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas sp VI4 1"
"Pseudomonas taetrolens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas taetrolens"
"Pseudomonas versuta","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas versuta"
"Pseudomonas weihenstephanensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas weihenstephanensis"
"Methylophaga muralis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga","Methylophaga muralis"
"Vibrio antiquarius","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Vibrionales","f__Vibrionaceae","g__Vibrio","Vibrio antiquarius"
"Vibrio cincinnatiensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Vibrionales","f__Vibrionaceae","g__Vibrio","Vibrio cincinnatiensis"
"Vibrio diabolicus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Vibrionales","f__Vibrionaceae","g__Vibrio","Vibrio diabolicus"
"Vibrio furnissii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Vibrionales","f__Vibrionaceae","g__Vibrio","Vibrio furnissii"
"Vibrio metschnikovii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Vibrionales","f__Vibrionaceae","g__Vibrio","Vibrio metschnikovii"
"Luteimonas sp JM171","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Luteimonas","Luteimonas sp JM171"
"Lysobacter defluvii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Lysobacter","Lysobacter defluvii"
"Lysobacter spongiicola","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Lysobacter","Lysobacter spongiicola"
"Pseudoxanthomonas sp Root65","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Pseudoxanthomonas","Pseudoxanthomonas sp Root65"
"Stenotrophomonas chelatiphaga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas chelatiphaga"
"Stenotrophomonas ginsengisoli","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas ginsengisoli"
"Stenotrophomonas indicatrix","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas indicatrix"
"Stenotrophomonas koreensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas koreensis"
"Stenotrophomonas maltophilia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas maltophilia"
"Stenotrophomonas rhizophila","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas rhizophila"
"Stenotrophomonas sp BIIR7","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas sp BIIR7"
"Stenotrophomonas sp KCTC 12332","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas sp KCTC 12332"
"Stenotrophomonas sp SPM","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas sp SPM"
"Stenotrophomonas terrae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","Stenotrophomonas terrae"
"Pseudomonas geniculata","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonadaceae_unclassified","Pseudomonas geniculata"
"Xanthomonadaceae bacterium NML91 0213","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonadaceae_unclassified","Xanthomonadaceae bacterium NML91 0213"
"Xanthomonadaceae bacterium NML93 0399","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonadaceae_unclassified","Xanthomonadaceae bacterium NML93 0399"
"Xanthomonas alfalfae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonas","Xanthomonas alfalfae"
"Xanthomonas arboricola","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonas","Xanthomonas arboricola"
"Xanthomonas axonopodis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonas","Xanthomonas axonopodis"
"Xanthomonas oryzae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonas","Xanthomonas oryzae"
