"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA5476","69002","21","Control","10/11/19",-9,27548802,27007121,"2",94185,"Farm A","Sample",-30,"-5",26912936,"USDA5476"
"USDA5477","93745","17","Control","10/15/19",-13,28935117,28376788,"1",489204,"Farm A","Sample",-30,"-5",27887584,"USDA5477"
"USDA5485","84521","4","Case","8/26/19",4,25807260,25197220,"1",14660475,"Farm A","Sample",0,"-1",10536745,"USDA5485"
"USDA5494","94279","14","Control","8/26/19",7,29611126,28799258,"3",17558219,"Farm A","Sample",-7,"-1",11241039,"USDA5494"
"USDA5499","94057","21","Case","8/24/19",9,32402635,31564856,"2",18210228,"Farm A","Sample",-12,"-2",13354628,"USDA5499"
"USDA5521","84446","7","Case","8/16/19",7,24979128,24261936,"2",9111200,"Farm A","Sample",0,"-1",15150736,"USDA5521"
"USDA5545","85135","8","Control","9/21/19",-10,28863756,28227246,"2",2651365,"Farm A","Sample",-18,"-3",25575881,"USDA5545"
"USDA5547","84778","7","Control","10/11/19",-30,31500606,30545715,"2",1307817,"Farm A","Sample",-37,"-6",29237898,"USDA5547"
"USDA5550","85111","6","Case","9/23/19",-12,30343383,29743400,"1",690131,"Farm A","Sample",-18,"-3",29053269,"USDA5550"
"USDA5553","94176","7","Control","10/2/19",7,28552630,27736217,"2",10536414,"Farm A","Sample",0,"-1",17199803,"USDA5553"
"USDA5562","69228","25","Case","9/28/19",-17,25659223,24946123,"2",837222,"Farm A","Sample",-42,"-6",24108901,"USDA5562"
"USDA5579","69228","25","Case","9/28/19",-32,29209101,28619453,"1",2469948,"Farm A","Sample",-57,"≥ -7",26149505,"USDA5579"
"USDA5585","87215","14","Control","9/9/19",-13,36515304,35276594,"1",3209902,"Farm A","Sample",-27,"-4",32066692,"USDA5585"
"USDA5588","94134","22","Control","9/6/19",-10,24033848,23499775,"2",1912583,"Farm A","Sample",-32,"-5",21587192,"USDA5588"
"USDA5599","84901","11","Control","9/28/19",7,38803582,37798733,"2",10186853,"Farm A","Sample",-4,"-1",27611880,"USDA5599"
"USDA5606","69228","25","Case","9/28/19",7,35921175,34730612,"3",18879255,"Farm A","Sample",-18,"-3",15851357,"USDA5606"
"USDA5612","84924","7","Case","9/28/19",7,35868927,34964505,"2",11343003,"Farm A","Sample",0,"-1",23621502,"USDA5612"
"USDA5631","94134","22","Control","9/6/19",14,29507889,28460052,"1",6336187,"Farm A","Sample",-8,"-2",22123865,"USDA5631"
"USDA5659","84956","17","Case","9/17/19",17,30907336,30190679,"3",6248883,"Farm A","Sample",0,"-1",23941796,"USDA5659"
"USDA5686","84568","18","Case","9/21/19",18,34676338,33958515,"1",9965259,"Farm A","Sample",0,"-1",23993256,"USDA5686"
"USDA5687","93745","17","Control","10/15/19",-6,30646635,29679581,"1",269702,"Farm A","Sample",-23,"-4",29409879,"USDA5687"
