"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA569","8444","6","Control","3/23/19",5,36099098,35275020,"3",9753201,"Farm D","Sample",-1,"-1",25521819,"USDA569"
"USDA570","1703","0","Control","3/29/19",-1,29402686,28620904,"1",27557001,"Farm D","Sample",-1,"-1",1063903,"USDA570"
"USDA574","8444","6","Control","3/23/19",-8,22391842,21673485,"2",3652576,"Farm D","Sample",-14,"-2",18020909,"USDA574"
"USDA576","1733","6","Case","4/12/19",-28,33568087,32742564,"2",32480270,"Farm D","Sample",-34,"-5",262294,"USDA576"
"USDA577","23819","10","Control","5/31/19",-1,26547447,26065880,"1",697391,"Farm B","Sample",-11,"-2",25368489,"USDA577"
"USDA579","23642","3","Control","5/31/19",-1,34724318,33731846,"2",5731661,"Farm B","Sample",-4,"-1",28000185,"USDA579"
"USDA583","24236","2","Control","6/4/19",-5,25548417,24999726,"1",422776,"Farm B","Sample",-7,"-1",24576950,"USDA583"
"USDA584","23100","11","Control","5/30/19",0,30985500,30024759,"3",790174,"Farm B","Sample",-11,"-2",29234585,"USDA584"
"USDA585","23357","0","Case","6/3/19",-4,25974046,25378753,"2",841415,"Farm B","Sample",-4,"-1",24537338,"USDA585"
"USDA594","1754","2","Case","4/30/19",2,35772273,34847147,"2",6161007,"Farm D","Sample",0,"-1",28686140,"USDA594"
"USDA596","1725","8","Control","4/24/19",8,24089004,23091438,"2",1270899,"Farm D","Sample",0,"-1",21820539,"USDA596"
"USDA603","1750","10","Case","4/22/19",10,23171506,22610673,"1",956182,"Farm D","Sample",0,"-1",21654491,"USDA603"
"USDA605","1755","9","Case","4/23/19",9,32481060,31349281,"1",7307706,"Farm D","Sample",0,"-1",24041575,"USDA605"
"USDA613","8438","5","Control","5/5/19",-30,29543628,28850641,"3",5085111,"Farm D","Sample",-35,"-5",23765530,"USDA613"
"USDA614","1755","9","Case","4/23/19",-18,35516795,34651276,"3",12385758,"Farm D","Sample",-27,"-4",22265518,"USDA614"
"USDA615","1756","7","Case","4/24/19",-19,29299718,28645457,"1",19066658,"Farm D","Sample",-26,"-4",9578799,"USDA615"
"USDA617","1739","9","Case","4/9/19",-4,26959752,26246654,"2",20221521,"Farm D","Sample",-13,"-2",6025133,"USDA617"
"USDA620","1751","10","Control","5/6/19",-24,40410709,39259186,"3",34169479,"Farm D","Sample",-34,"-5",5089707,"USDA620"
"USDA621","1733","6","Case","4/12/19",0,38213005,37290019,"3",32118110,"Farm D","Sample",-6,"-1",5171909,"USDA621"
"USDA622","1714","7","Control","5/9/19",-27,26370311,25765469,"2",5811816,"Farm D","Sample",-34,"-5",19953653,"USDA622"
"USDA623","1750","10","Case","4/22/19",-10,24405972,23876000,"1",8040460,"Farm D","Sample",-20,"-3",15835540,"USDA623"
"USDA626","1756","7","Case","4/24/19",-34,27011101,26346799,"1",4701131,"Farm D","Sample",-41,"-6",21645668,"USDA626"
"USDA628","1727","4","Case","4/1/19",-11,30850990,30173122,"1",21960160,"Farm D","Sample",-15,"-3",8212962,"USDA628"
"USDA630","1701","6","Control","4/9/19",-19,33433666,32770521,"1",3782207,"Farm D","Sample",-25,"-4",28988314,"USDA630"
